Date,Open,High,Low,Close
11/15/2024,"57,993.79","57,993.79","57,993.79","57,993.79"
11/14/2024,"58,770.79","58,770.79","58,770.79","58,770.79"
11/13/2024,"59,197.57","59,197.57","59,197.57","59,197.57"
11/12/2024,"59,241.27","59,241.27","59,241.27","59,241.27"
11/11/2024,"59,481.16","59,481.16","59,481.16","59,481.16"
11/08/2024,"59,283.60","59,283.60","59,283.60","59,283.60"
11/07/2024,"59,020.19","59,020.19","59,020.19","59,020.19"
11/06/2024,"58,614.43","58,614.43","58,614.43","58,614.43"
11/05/2024,"56,997.66","56,997.66","56,997.66","56,997.66"
11/04/2024,"56,253.90","56,253.90","56,253.90","56,253.90"
11/01/2024,"56,382.25","56,382.25","56,382.25","56,382.25"
10/31/2024,"56,144.02","56,144.02","56,144.02","56,144.02"
10/30/2024,"57,169.68","57,169.68","57,169.68","57,169.68"
10/29/2024,"57,348.39","57,348.39","57,348.39","57,348.39"
10/28/2024,"57,264.92","57,264.92","57,264.92","57,264.92"
10/25/2024,"57,037.50","57,037.50","57,037.50","57,037.50"
10/24/2024,"57,087.81","57,087.81","57,087.81","57,087.81"
10/23/2024,"56,931.77","56,931.77","56,931.77","56,931.77"
10/22/2024,"57,440.77","57,440.77","57,440.77","57,440.77"
10/21/2024,"57,496.89","57,496.89","57,496.89","57,496.89"
10/18/2024,"57,681.68","57,681.68","57,681.68","57,681.68"
10/17/2024,"57,469.46","57,469.46","57,469.46","57,469.46"
10/16/2024,"57,489.60","57,489.60","57,489.60","57,489.60"
