Date,Open,High,Low,Close
11/15/2024,"57,993.79","57,993.79","57,993.79","57,993.79"
11/14/2024,"58,770.79","58,770.79","58,770.79","58,770.79"
11/13/2024,"59,197.57","59,197.57","59,197.57","59,197.57"
11/12/2024,"59,241.27","59,241.27","59,241.27","59,241.27"
11/11/2024,"59,481.16","59,481.16","59,481.16","59,481.16"
11/08/2024,"59,283.60","59,283.60","59,283.60","59,283.60"
11/07/2024,"59,020.19","59,020.19","59,020.19","59,020.19"
11/06/2024,"58,614.43","58,614.43","58,614.43","58,614.43"
11/05/2024,"56,997.66","56,997.66","56,997.66","56,997.66"
11/04/2024,"56,253.90","56,253.90","56,253.90","56,253.90"
11/01/2024,"56,382.25","56,382.25","56,382.25","56,382.25"
10/31/2024,"56,144.02","56,144.02","56,144.02","56,144.02"
10/30/2024,"57,169.68","57,169.68","57,169.68","57,169.68"
10/29/2024,"57,348.39","57,348.39","57,348.39","57,348.39"
10/28/2024,"57,264.92","57,264.92","57,264.92","57,264.92"
10/25/2024,"57,037.50","57,037.50","57,037.50","57,037.50"
10/24/2024,"57,087.81","57,087.81","57,087.81","57,087.81"
10/23/2024,"56,931.77","56,931.77","56,931.77","56,931.77"
10/22/2024,"57,440.77","57,440.77","57,440.77","57,440.77"
10/21/2024,"57,496.89","57,496.89","57,496.89","57,496.89"
10/18/2024,"57,681.68","57,681.68","57,681.68","57,681.68"
10/17/2024,"57,469.46","57,469.46","57,469.46","57,469.46"
10/16/2024,"57,489.60","57,489.60","57,489.60","57,489.60"
10/15/2024,"57,172.83","57,172.83","57,172.83","57,172.83"
10/14/2024,"57,546.09","57,546.09","57,546.09","57,546.09"
10/11/2024,"57,129.68","57,129.68","57,129.68","57,129.68"
10/10/2024,"56,693.09","56,693.09","56,693.09","56,693.09"
10/09/2024,"56,811.37","56,811.37","56,811.37","56,811.37"
10/08/2024,"56,416.86","56,416.86","56,416.86","56,416.86"
10/07/2024,"55,934.23","55,934.23","55,934.23","55,934.23"
10/04/2024,"56,469.39","56,469.39","56,469.39","56,469.39"
10/03/2024,"55,909.98","55,909.98","55,909.98","55,909.98"
10/02/2024,"56,036.77","56,036.77","56,036.77","56,036.77"
10/01/2024,"56,027.93","56,027.93","56,027.93","56,027.93"
09/30/2024,"56,562.84","56,562.84","56,562.84","56,562.84"
09/27/2024,"56,351.01","56,351.01","56,351.01","56,351.01"
09/26/2024,"56,387.56","56,387.56","56,387.56","56,387.56"
09/25/2024,"56,147.71","56,147.71","56,147.71","56,147.71"
09/24/2024,"56,310.05","56,310.05","56,310.05","56,310.05"
09/23/2024,"56,169.00","56,169.00","56,169.00","56,169.00"
09/20/2024,"56,024.68","56,024.68","56,024.68","56,024.68"
09/19/2024,"56,162.44","56,162.44","56,162.44","56,162.44"
09/18/2024,"55,206.16","55,206.16","55,206.16","55,206.16"
09/17/2024,"55,336.59","55,336.59","55,336.59","55,336.59"
09/16/2024,"55,296.96","55,296.96","55,296.96","55,296.96"
09/13/2024,"55,195.53","55,195.53","55,195.53","55,195.53"
09/12/2024,"54,804.57","54,804.57","54,804.57","54,804.57"
09/11/2024,"54,368.61","54,368.61","54,368.61","54,368.61"
09/10/2024,"53,817.48","53,817.48","53,817.48","53,817.48"
09/09/2024,"53,585.65","53,585.65","53,585.65","53,585.65"
09/06/2024,"53,010.83","53,010.83","53,010.83","53,010.83"
09/05/2024,"53,951.45","53,951.45","53,951.45","53,951.45"
09/04/2024,"54,122.68","54,122.68","54,122.68","54,122.68"
09/03/2024,"54,227.75","54,227.75","54,227.75","54,227.75"
08/30/2024,"55,441.80","55,441.80","55,441.80","55,441.80"
08/29/2024,"54,902.23","54,902.23","54,902.23","54,902.23"
08/28/2024,"54,855.25","54,855.25","54,855.25","54,855.25"
08/27/2024,"55,201.42","55,201.42","55,201.42","55,201.42"
08/26/2024,"55,157.96","55,157.96","55,157.96","55,157.96"
08/23/2024,"55,320.92","55,320.92","55,320.92","55,320.92"
08/22/2024,"54,593.69","54,593.69","54,593.69","54,593.69"
08/21/2024,"55,085.84","55,085.84","55,085.84","55,085.84"
08/20/2024,"54,789.94","54,789.94","54,789.94","54,789.94"
08/19/2024,"54,947.23","54,947.23","54,947.23","54,947.23"
08/16/2024,"54,413.30","54,413.30","54,413.30","54,413.30"
08/15/2024,"54,300.35","54,300.35","54,300.35","54,300.35"
08/14/2024,"53,382.59","53,382.59","53,382.59","53,382.59"
08/13/2024,"53,208.54","53,208.54","53,208.54","53,208.54"
08/12/2024,"52,328.23","52,328.23","52,328.23","52,328.23"
08/09/2024,"52,379.84","52,379.84","52,379.84","52,379.84"
08/08/2024,"52,148.85","52,148.85","52,148.85","52,148.85"
08/07/2024,"50,946.40","50,946.40","50,946.40","50,946.40"
08/06/2024,"51,361.46","51,361.46","51,361.46","51,361.46"
08/05/2024,"50,828.55","50,828.55","50,828.55","50,828.55"
08/02/2024,"52,397.54","52,397.54","52,397.54","52,397.54"
08/01/2024,"53,503.07","53,503.07","53,503.07","53,503.07"
07/31/2024,"54,333.74","54,333.74","54,333.74","54,333.74"
07/30/2024,"53,543.45","53,543.45","53,543.45","53,543.45"
07/29/2024,"53,776.93","53,776.93","53,776.93","53,776.93"
07/26/2024,"53,775.10","53,775.10","53,775.10","53,775.10"
07/25/2024,"53,167.41","53,167.41","53,167.41","53,167.41"
07/24/2024,"53,332.33","53,332.33","53,332.33","53,332.33"
07/23/2024,"54,613.57","54,613.57","54,613.57","54,613.57"
07/22/2024,"54,634.33","54,634.33","54,634.33","54,634.33"
07/19/2024,"54,045.89","54,045.89","54,045.89","54,045.89"
07/18/2024,"54,397.53","54,397.53","54,397.53","54,397.53"
07/17/2024,"54,897.43","54,897.43","54,897.43","54,897.43"
07/16/2024,"55,684.73","55,684.73","55,684.73","55,684.73"
07/15/2024,"55,194.72","55,194.72","55,194.72","55,194.72"
07/12/2024,"54,975.45","54,975.45","54,975.45","54,975.45"
07/11/2024,"54,635.51","54,635.51","54,635.51","54,635.51"
07/10/2024,"54,892.72","54,892.72","54,892.72","54,892.72"
07/09/2024,"54,357.32","54,357.32","54,357.32","54,357.32"
07/08/2024,"54,355.04","54,355.04","54,355.04","54,355.04"
07/05/2024,"54,288.28","54,288.28","54,288.28","54,288.28"
07/03/2024,"54,041.92","54,041.92","54,041.92","54,041.92"
07/02/2024,"53,777.75","53,777.75","53,777.75","53,777.75"
07/01/2024,"53,468.79","53,468.79","53,468.79","53,468.79"
06/28/2024,"53,372.39","53,372.39","53,372.39","53,372.39"
06/27/2024,"53,539.32","53,539.32","53,539.32","53,539.32"
06/26/2024,"53,441.74","53,441.74","53,441.74","53,441.74"
06/25/2024,"53,365.98","53,365.98","53,365.98","53,365.98"
06/24/2024,"53,217.63","53,217.63","53,217.63","53,217.63"
06/21/2024,"53,326.16","53,326.16","53,326.16","53,326.16"
06/20/2024,"53,380.01","53,380.01","53,380.01","53,380.01"
06/18/2024,"53,518.13","53,518.13","53,518.13","53,518.13"
06/17/2024,"53,394.72","53,394.72","53,394.72","53,394.72"
06/14/2024,"52,988.17","52,988.17","52,988.17","52,988.17"
06/13/2024,"53,089.14","53,089.14","53,089.14","53,089.14"
06/12/2024,"53,051.14","53,051.14","53,051.14","53,051.14"
06/11/2024,"52,554.23","52,554.23","52,554.23","52,554.23"
06/10/2024,"52,448.15","52,448.15","52,448.15","52,448.15"
06/07/2024,"52,294.73","52,294.73","52,294.73","52,294.73"
06/06/2024,"52,418.00","52,418.00","52,418.00","52,418.00"
06/05/2024,"52,448.16","52,448.16","52,448.16","52,448.16"
06/04/2024,"51,821.32","51,821.32","51,821.32","51,821.32"
06/03/2024,"51,831.81","51,831.81","51,831.81","51,831.81"
05/31/2024,"51,815.37","51,815.37","51,815.37","51,815.37"
05/30/2024,"51,447.89","51,447.89","51,447.89","51,447.89"
05/29/2024,"51,676.81","51,676.81","51,676.81","51,676.81"
05/28/2024,"52,260.44","52,260.44","52,260.44","52,260.44"
05/24/2024,"52,106.49","52,106.49","52,106.49","52,106.49"
05/23/2024,"51,732.25","51,732.25","51,732.25","51,732.25"
05/22/2024,"52,181.12","52,181.12","52,181.12","52,181.12"
05/21/2024,"52,362.52","52,362.52","52,362.52","52,362.52"
05/20/2024,"52,269.07","52,269.07","52,269.07","52,269.07"
05/17/2024,"52,192.70","52,192.70","52,192.70","52,192.70"
05/16/2024,"52,113.70","52,113.70","52,113.70","52,113.70"
05/15/2024,"52,270.69","52,270.69","52,270.69","52,270.69"
05/14/2024,"51,680.56","51,680.56","51,680.56","51,680.56"
05/13/2024,"51,385.78","51,385.78","51,385.78","51,385.78"
05/10/2024,"51,393.81","51,393.81","51,393.81","51,393.81"
05/09/2024,"51,349.21","51,349.21","51,349.21","51,349.21"
05/08/2024,"51,065.18","51,065.18","51,065.18","51,065.18"
05/07/2024,"51,110.02","51,110.02","51,110.02","51,110.02"
05/06/2024,"51,059.77","51,059.77","51,059.77","51,059.77"
05/03/2024,"50,511.17","50,511.17","50,511.17","50,511.17"
05/02/2024,"49,922.31","49,922.31","49,922.31","49,922.31"
05/01/2024,"49,428.13","49,428.13","49,428.13","49,428.13"
04/30/2024,"49,552.40","49,552.40","49,552.40","49,552.40"
04/29/2024,"50,377.47","50,377.47","50,377.47","50,377.47"
04/26/2024,"50,197.75","50,197.75","50,197.75","50,197.75"
04/25/2024,"49,696.45","49,696.45","49,696.45","49,696.45"
04/24/2024,"49,923.71","49,923.71","49,923.71","49,923.71"
04/23/2024,"49,921.15","49,921.15","49,921.15","49,921.15"
04/22/2024,"49,299.58","49,299.58","49,299.58","49,299.58"
04/19/2024,"48,867.68","48,867.68","48,867.68","48,867.68"
04/18/2024,"49,238.90","49,238.90","49,238.90","49,238.90"
04/17/2024,"49,355.69","49,355.69","49,355.69","49,355.69"
04/16/2024,"49,658.33","49,658.33","49,658.33","49,658.33"
04/15/2024,"49,779.54","49,779.54","49,779.54","49,779.54"
04/12/2024,"50,418.20","50,418.20","50,418.20","50,418.20"
04/11/2024,"51,189.76","51,189.76","51,189.76","51,189.76"
04/10/2024,"50,828.04","50,828.04","50,828.04","50,828.04"
04/09/2024,"51,377.95","51,377.95","51,377.95","51,377.95"
04/08/2024,"51,299.33","51,299.33","51,299.33","51,299.33"
04/05/2024,"51,277.44","51,277.44","51,277.44","51,277.44"
04/04/2024,"50,736.94","50,736.94","50,736.94","50,736.94"
04/03/2024,"51,353.49","51,353.49","51,353.49","51,353.49"
04/02/2024,"51,261.81","51,261.81","51,261.81","51,261.81"
04/01/2024,"51,694.08","51,694.08","51,694.08","51,694.08"
03/28/2024,"51,844.94","51,844.94","51,844.94","51,844.94"
03/27/2024,"51,772.92","51,772.92","51,772.92","51,772.92"
03/26/2024,"51,296.15","51,296.15","51,296.15","51,296.15"
03/25/2024,"51,417.47","51,417.47","51,417.47","51,417.47"
03/22/2024,"51,546.83","51,546.83","51,546.83","51,546.83"
03/21/2024,"51,678.81","51,678.81","51,678.81","51,678.81"
03/20/2024,"51,474.65","51,474.65","51,474.65","51,474.65"
03/19/2024,"50,953.07","50,953.07","50,953.07","50,953.07"
03/18/2024,"50,670.22","50,670.22","50,670.22","50,670.22"
03/15/2024,"50,405.26","50,405.26","50,405.26","50,405.26"
03/14/2024,"50,683.43","50,683.43","50,683.43","50,683.43"
03/13/2024,"50,913.70","50,913.70","50,913.70","50,913.70"
03/12/2024,"50,972.65","50,972.65","50,972.65","50,972.65"
03/11/2024,"50,462.56","50,462.56","50,462.56","50,462.56"
03/08/2024,"50,552.19","50,552.19","50,552.19","50,552.19"
03/07/2024,"50,857.34","50,857.34","50,857.34","50,857.34"
03/06/2024,"50,355.97","50,355.97","50,355.97","50,355.97"
03/05/2024,"50,083.19","50,083.19","50,083.19","50,083.19"
03/04/2024,"50,606.31","50,606.31","50,606.31","50,606.31"
03/01/2024,"50,666.82","50,666.82","50,666.82","50,666.82"
02/29/2024,"50,274.94","50,274.94","50,274.94","50,274.94"
02/28/2024,"50,010.40","50,010.40","50,010.40","50,010.40"
02/27/2024,"50,110.97","50,110.97","50,110.97","50,110.97"
02/26/2024,"49,968.38","49,968.38","49,968.38","49,968.38"
02/23/2024,"50,099.92","50,099.92","50,099.92","50,099.92"
02/22/2024,"50,067.67","50,067.67","50,067.67","50,067.67"
02/21/2024,"49,098.99","49,098.99","49,098.99","49,098.99"
02/20/2024,"49,089.25","49,089.25","49,089.25","49,089.25"
02/16/2024,"49,427.47","49,427.47","49,427.47","49,427.47"
02/15/2024,"49,690.24","49,690.24","49,690.24","49,690.24"
02/14/2024,"49,328.97","49,328.97","49,328.97","49,328.97"
02/13/2024,"48,780.04","48,780.04","48,780.04","48,780.04"
02/12/2024,"49,567.35","49,567.35","49,567.35","49,567.35"
02/09/2024,"49,540.08","49,540.08","49,540.08","49,540.08"
02/08/2024,"49,217.98","49,217.98","49,217.98","49,217.98"
